,state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,hash
0,AK,408,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,41943.0,,10.0,,,,,,358.0,5/23 15:00,5/23 17:27,10,,42351,42351,42351,02,2020-05-23T19:00:00Z,2020-05-23T21:27:00Z,7a2c6f20c814bc9ade0a02586cc8ba3ce1f9f81d
1,AL,13938,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,168738.0,,,1589.0,,538.0,,319.0,7951.0,5/23 00:00,5/23 17:11,546,1589.0,182676,182676,182676,01,2020-05-23T04:00:00Z,2020-05-23T21:11:00Z,1f43e5d9d2d0ac1d88d41f0f4671ff7a27d5d5ef
2,AR,5612,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,97435.0,,81.0,590.0,,,14.0,111.0,4029.0,5/23 00:00,5/23 14:40,113,590.0,103047,103047,103047,05,2020-05-23T04:00:00Z,2020-05-23T18:40:00Z,442a79f65bf4d76546d41a451e90d451d164bd7d
3,AZ,16039,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,164400.0,,784.0,1930.0,309.0,,193.0,,4033.0,5/23 00:00,5/23 15:35,799,1930.0,180439,180439,180439,04,2020-05-23T04:00:00Z,2020-05-23T19:35:00Z,bf018727797af1ae78a1e49e8a79f67630fc8534
4,CA,90631,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,1424675.0,,4342.0,,1312.0,,,,,5/23 00:00,5/23 14:45,3708,,1515306,1515306,1515306,06,2020-05-23T04:00:00Z,2020-05-23T18:45:00Z,c623ec400746e881bcc0cf771583c26adf89469c
5,CO,23487,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,121465.0,,571.0,4082.0,,,,,3612.0,5/22 00:00,5/23 15:03,1324,4082.0,144952,144952,144952,08,2020-05-22T04:00:00Z,2020-05-23T19:03:00Z,2fc0d83a1ddca63c8c2fde3bf2d8b9b6aa7bd30e
6,CT,40022,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,168345.0,,724.0,12538.0,,,,,7127.0,5/22 20:30,5/23 16:50,3675,12538.0,208367,208367,208367,09,2020-05-23T00:30:00Z,2020-05-23T20:50:00Z,5b564abb83f9fe51ef1cef8e6239bcd4369ef0b0
7,DC,7966,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,44025.0,,324.0,,110.0,,73.0,,1075.0,5/22 00:00,5/23 14:17,427,,51991,51991,51991,11,2020-05-22T04:00:00Z,2020-05-23T18:17:00Z,79dd82df081d99bdaa1c3edc29824039df859536
8,DE,8690,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,41844.0,,210.0,,,,,,4454.0,5/22 18:00,5/23 14:22,324,,50534,50534,50534,10,2020-05-22T22:00:00Z,2020-05-23T18:22:00Z,7ff607b0803f32adddab11eda6db77ec046cf714
9,FL,50127,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,806310.0,1563.0,,9567.0,,,,,,5/23 10:00,5/23 15:48,2312,9567.0,858000,856437,856437,12,2020-05-23T14:00:00Z,2020-05-23T19:48:00Z,42b9a6044e5dcdc66eaa6db5e8acddcb38912df7
